src,dest
/wiki/Green_tea,/wiki/Lahpet
/wiki/Green_tea,/wiki/Kombucha
/wiki/Green_tea,/wiki/Earl_Grey_tea
/wiki/Green_tea,/wiki/Lady_Grey_(tea)
/wiki/Green_tea,/wiki/English_breakfast_tea
/wiki/Green_tea,/wiki/Irish_breakfast_tea
/wiki/Green_tea,/wiki/English_afternoon_tea
/wiki/Green_tea,/wiki/Jasmine_tea
/wiki/Green_tea,/wiki/Lapsang_souchong
/wiki/Green_tea,/wiki/Masala_chai
/wiki/Green_tea,/wiki/Maghrebi_mint_tea
/wiki/Green_tea,/wiki/Prince_of_Wales_tea_blend
/wiki/Green_tea,/wiki/Russian_Caravan
/wiki/Green_tea,/wiki/Herbal_tea
/wiki/Green_tea,/wiki/Chamomile
/wiki/Green_tea,/wiki/Dried_lime_tea
/wiki/Green_tea,/wiki/Ginger_tea
/wiki/Green_tea,/wiki/Ilex_guayusa
/wiki/Green_tea,/wiki/Koththamalli
/wiki/Green_tea,/wiki/Kuding
/wiki/Green_tea,/wiki/Mate_(drink)
/wiki/Green_tea,/wiki/Rooibos
/wiki/Green_tea,/wiki/Tea_in_Australia
/wiki/Green_tea,/wiki/Tea_in_the_United_Kingdom
/wiki/Green_tea,/wiki/Ceylon_tea
/wiki/Green_tea,/wiki/Iranian_cuisine#Drinks
/wiki/Green_tea,/wiki/Nepali_tea
/wiki/Green_tea,/wiki/Taiwanese_tea
/wiki/Green_tea,/wiki/Tea_in_Turkey
/wiki/Green_tea,/wiki/Vietnamese_tea
/wiki/Green_tea,/wiki/Tea_culture
/wiki/Green_tea,/wiki/Tea_(meal)
/wiki/Green_tea,/wiki/Tea_party
/wiki/Green_tea,/wiki/Tasseography
/wiki/Green_tea,/wiki/East_Asian_tea_ceremony
/wiki/Green_tea,/wiki/Gongfu_tea_ceremony
/wiki/Green_tea,/wiki/Yum_cha
/wiki/Green_tea,/wiki/Taiwanese_tea_culture
/wiki/Green_tea,/wiki/Ryukyuan_tea_ceremony
/wiki/Green_tea,/wiki/Tea_garden
/wiki/Green_tea,/wiki/Teahouse
/wiki/Green_tea,/wiki/Cha_chaan_teng
/wiki/Green_tea,/wiki/Chashitsu
/wiki/Green_tea,/wiki/Mizuya
/wiki/Green_tea,/wiki/Sukiya-zukuri
/wiki/Green_tea,/wiki/Roji
/wiki/Green_tea,/wiki/American_tea_culture
/wiki/Green_tea,/wiki/Arabic_tea
/wiki/Green_tea,/wiki/Argentine_tea_culture
/wiki/Green_tea,/wiki/Azerbaijani_tea_culture
/wiki/Green_tea,/wiki/Brazilian_tea_culture
/wiki/Green_tea,/wiki/Dominican_tea_culture
/wiki/Green_tea,/wiki/Hong_Kong_tea_culture
/wiki/Green_tea,/wiki/Indian_tea_culture
/wiki/Green_tea,/wiki/Mexican_tea_culture
/wiki/Green_tea,/wiki/Pakistani_tea_culture
/wiki/Green_tea,/wiki/Russian_tea_culture
/wiki/Green_tea,/wiki/Senegalese_tea_culture
/wiki/Green_tea,/wiki/History_of_tea_in_India
/wiki/Green_tea,/wiki/Tea_leaf_grading
/wiki/Green_tea,/wiki/Tea_processing
/wiki/Green_tea,/wiki/Decaffeination
/wiki/Green_tea,/wiki/Tea_tasting
/wiki/Green_tea,/wiki/List_of_tea_diseases
/wiki/Green_tea,/wiki/List_of_Lepidoptera_that_feed_on_Camellia
/wiki/Green_tea,/wiki/List_of_tea_companies
/wiki/Green_tea,/wiki/List_of_countries_by_tea_consumption_per_capita
/wiki/Green_tea,/wiki/London_Tea_Auction
/wiki/Green_tea,/wiki/Chittagong_Tea_Auction
/wiki/Green_tea,/wiki/Guwahati_Tea_Auction_Centre
/wiki/Green_tea,/wiki/Tea_production_in_Bangladesh
/wiki/Green_tea,/wiki/Tea_production_in_Kenya
/wiki/Green_tea,/wiki/Tea_production_in_Sri_Lanka
/wiki/Green_tea,/wiki/Tea_production_in_the_United_States
/wiki/Green_tea,/wiki/Flowering_tea
/wiki/Green_tea,/wiki/Infusion
/wiki/Green_tea,/wiki/Decoction
/wiki/Green_tea,/wiki/ISO_3103
/wiki/Green_tea,/wiki/Tea_brick
/wiki/Green_tea,/wiki/Phenolic_content_in_tea
/wiki/Green_tea,/wiki/Flavan-3-ol
/wiki/Green_tea,/wiki/Theaflavin
/wiki/Green_tea,/wiki/Bubble_tea
/wiki/Green_tea,/wiki/Builder%27s_tea
/wiki/Green_tea,/wiki/Burmese_milk_tea
/wiki/Green_tea,/wiki/Butter_tea
/wiki/Green_tea,/wiki/Cannabis_tea
/wiki/Green_tea,/wiki/Chifir
/wiki/Green_tea,/wiki/Doodh_pati_chai
